Stok Kodu,Stok Adı,Envanter,Birim,Satış Fiyatı 1
TR132,TR132,0,,
TR127,TR127,0,,
TR425,TR425,0,,
TR102,TR102,0,,
TR427,TR427,0,,
TR055,TR055,0,,
TR059,TR059,0,,
TR700,TR700,0,,
TR137,TR137,0,,
TR096,TR096,0,,
TR432,TR432,0,,
TR087,TR087,0,,
TR025,TR025,0,,
TR026,TR026,0,,
TR904,TR904,0,,
TR058,TR058,0,,
TR077,TR077,0,,
TR501,TR501,0,,
TR915,TR915,0,,
TR901,TR901,0,,
TR082,TR082,0,,
TR021,TR021,0,,
TR415,TR415,0,,
TR053,TR053,0,,
TR226,TR226,0,,
TR9500,TR9500,0,,
TR008,TR008,0,,
TR136,TR136,0,,
TR234,TR234,0,,
TR124,TR124,0,,
TR038,TR038,0,,
TR061,TR061,0,,
TR602,TR602,0,,
TR601,TR601,0,,
TR233,TR233,0,,
TR108,TR108,0,,
TR900,TR900,0,,
TR071,TR071,0,,
TR188,TR188,0,,
TR133,TR133,0,,
TR047,TR047,0,,
TR903,TR903,0,,
TR300,TR300,0,,
TR044,TR044,0,,
TR065,TR065,0,,
TR081,TR081,0,,
TR069,TR069,0,,
TR304,TR304,0,,
TR1616,TR1616,0,,
TR445,TR445,0,,
TR403,TR403,0,,
TR003,TR003,0,,
TR0447,TR0447,0,,
TR224,TR224,0,,
TR431,TR431,0,,
TR603,TR603,0,,
TR401,TR401,0,,
TR031,TR031,0,,
TR424,TR424,0,,
TR080,TR080,0,,
TR083,TR083,0,,
TR202,TR202,0,,
TR605,TR605,0,,
STOK,STOK,0,ADET,"0,00"
{0545B4B3-7B7A-442A-9326-CE376EDD0526},NEROX MANDAL 10LU ,0,ADET,"0,00"
8682503340818,OSMAN BAKKAL SÜTLÜ GOFRET 1400GR,0,ADET,"0,00"
{73C2A026-9E6A-4858-ACCA-3B053C7F4705},SENSODYNE DİŞ FIRÇASI HIZLI RAHATLAMA 1+1,0,ADET,"0,00"
ST-000005,%970222,0,ADET,"0,00"
8696881102562,BUBBLE BEE ANANAS 350ML,96,ADET,"0,00"
ST-000008,TABLOT 3 GÖZLÜ,0,ADET,"0,00"
ÜLKER YUPO LOLİPOP 6 ADET,,0,ADET,"0,00"
.,ÇEKOM SÜNNET MEVLİD HATIRASI,0,ADET,"0,00"
ST-000011,L Y,0,ADET,"0,00"
BREF WC OCEAN 2*50GR,,0,ADET,"0,00"
ST-000004,PİLASTİK,0,ADET,"0,00"
ST-000003,PLASTİK TOP,0,ADET,"0,00"
ST-000006,EKMA,0,ADET,"0,00"
%525123,,0,ADET,"0,00"
GL.TK.OK.KIYF.,GELENEKSEL TÜRK OKÇULUK KIYAFETİ,0,ADET,"0,00"
ST-000009,MASA ÖRTÜSÜ,0,ADET,"0,00"
8696881102753,BUBBLE BEE EJDER 350ML,95,ADET,"0,00"
5000112671612,CAPPY LİMONATA 1 LT,0,ADET,"0,00"
8690547021082,KENTON MISIR NİŞASTASI 200GR,0,ADET,"0,00"
8690547150546,KENTON BUĞDAY NİŞASTASI 200GR,0,ADET,"0,00"
VASELİNE ORİGİNAL 100ML,,0,ADET,"0,00"
8697713823815,POŞET ADET,0,ADET,"0,50"
8690637900099,A.MAX YAZBUZ 32ML,0,ADET,"0,75"
8697445827181,A.KETTE YEDEK BONCUK,0,ADET,"0,75"
8692404904453,D.PENSAN TÜK.KALEM KIRMIZI,0,ADET,"0,75"
8683130002582,"LİPTON TEK DEM 1,9GR",0,ADET,"1,00"
8697429710072,SALTİ TUZ 750GR,0,ADET,"1,00"
90957,PLASTİK BARDAK,20.692,ADET,"1,00"
8697906000290,ZARF,1.353,ADET,"1,00"
4018852021483,BEBİVİTA BEBEK SÜTÜ NO:1 500GR,0,ADET,"1,00"
8697217002617,USAŞ LOKUM GÜL 350GR,0,ADET,"1,00"
MLF-LRG,MOLFİX 3D FIRSAT PAK. E.LARGE 38*3 AD 2023,0,KOLİ,"1,00"
FT.FOR.TKM,FUTBOL FORMA TAKIMI,0,ADET,"1,00"
8711000567364,JACOBS MONARCH GOLD 30*2GR (60GR),0,ADET,"1,00"
8690719111870,DOĞUŞ SOĞUK ÇAY 250ML,0,ADET,"1,00"
8694587134023,KENT BORİNGER MISIR UNU 400GR,0,ADET,"1,00"
TUZ,TUZ RUHU 500ML,0,ADET,"1,00"
8694587142721,KENT BORİNGER LEZZET KÜPLERİ SARIMSAK 4GR*20AD,0,ADET,"1,00"
8697217006547,LOKUMİX ÇİFTE KAVRULMUŞ FISTIKLI 170GR,0,ADET,"1,00"
8690741700400,İDEAL STREÇ FİLM 10MT,0,ADET,"1,00"
MLF-MD,MOLFİX 3DFIRSAT PAK.MİDİ 4-9 68*3 AD 2023,0,KOLİ,"1,00"
SWFEWEFWEFWEFWFWFWE,WEFWEFWEFWEFWEFWFE,0,ADET,"1,00"
HŞAKİR,HACI ŞAKİR TEKLİ 150GR,0,ADET,"1,00"
8690738021099,ECE SALATALIK TURŞUSU 660GR,0,ADET,"1,00"
8691641080005,FKB FINDIK EZMESİ ŞEKERLİ 180GR,0,ADET,"1,00"
8694748691099,KEMAL KÜKRER ACI BİBER TURŞUSU 340GR,0,ADET,"1,00"
BS.FOR.TKM.,BASKETBOL FORMA TAKIMI,0,ADET,"1,00"
8696056103141,PEK  FOOD TWIN MİSTRO PİZZA 400GR,0,ADET,"1,00"
AKILLI KART ,AKILLI KART YÜKLEME HİZMET BEDELİ,0,ADET,"1,00"
